,x
Pseudomonadota,#E41A1C
Bacillota,#377EB8
Actinomycetota,#4DAF4A
Bacteroidota,#984EA3
Fusobacteriota,#FF7F00
Other Bacteria,grey20
Other Archaea,grey80
